Nombre de cas rapportés par région à 14h au ,22/03/2020 
Auvergne-Rhône-Alpes,1431
Bourgogne-Franche-Comté,1178
Bretagne,397
Centre-Val de Loire,291
Corse,183
Grand Est,3395
Hauts-de-France,936
Ile-de-France,5283
Normandie,462
Nouvelle-Aquitaine,612
Occitanie,671
Pays de la Loire,270
Provence-Alpes-Côte d’Azur,1372
Total Métropole,15810
Guadeloupe,58
Saint-Barthélémy,3
Saint-Martin,6
Guyane,19
Martinique,44
Mayotte,14
La Réunion,64
Total Outre Mer,208

Hauts-de-FranceDonnées non consolidées à l'heure du bilan,
