Nombre de cas rapportés par région à 14h au 22/03/2020,
Auvergne-Rhône-Alpes,1730
Bourgogne-Franche-Comté,1347
Bretagne,490
Centre-Val de Loire,361
Corse,194
Grand Est,4256
Hauts-de-France,1269
Ile-de-France,6211
Normandie,511
Nouvelle-Aquitaine,676
Occitanie,767
Pays de la Loire,293
Provence-Alpes-Côte d’Azur,1510
Total Métropole,19615
Guadeloupe,62
Saint-Barthélémy,3
Saint-Martin,8
Guyane,20
Martinique,53
Mayotte,24
La Réunion,71
Total Outre Mer,241

Hauts-de-FranceDonnées non consolidées à l'heure du bilan,
